car_make,car_model,year_release,VIN,price
Lincoln,Mark VIII,1996,WAUMF78K59N430361,72785
Mazda,929,1988,SALFR2BG5EH158633,66697
Toyota,4Runner,1993,WBALL5C51EJ990700,53565
Dodge,Ram 2500,2002,1G6YV36A585871936,59368
Scion,xB,2008,3C4PDCDGXCT736043,33765
Suzuki,SJ,1991,JN1EY1AP6DM117504,42728
Acura,RL,2004,SALFR2BN9BH036643,16527
Lincoln,Continental,1985,1G6YV36A285875121,58968
Dodge,Dakota Club,2002,KNAGM4AD7D5797283,25067
Volvo,V50,2009,1C4AJWAG6DL800483,57838
Infiniti,G,1996,2HKRM3H3XFH060438,12113
Dodge,Dakota,1993,KMHFH4JG3EA882364,42170
Mercury,Mountaineer,2006,1G6YV36A175104423,36440
Mazda,RX-7,1990,1FTEW1C80AK092614,62989
Acura,MDX,2005,WBY2Z2C5XFV078068,29041
Hyundai,Tiburon,2009,WBALL5C52CE093908,61692
Pontiac,Grand Am,2004,WBAGL634X3D647538,11073
Subaru,Forester,2011,1VWAH7A30EC741802,47637
Chevrolet,Camaro,1971,5FRYD4H40GB536057,49161
Ford,F-Series,1989,19UYA42552A777143,55450
Ford,Ranger,1997,5J6TF1H3XBL504583,20655
BMW,550,2006,5BZAF0AA0EN903947,19501
Mercedes-Benz,CLK-Class,2004,1GD312CG3DF016125,63806
Toyota,Solara,2003,WDDUG7JB4EA853157,53484
Audi,S4,2007,WA1WGAFP8EA263395,21988
Tesla,Roadster,2010,WBADT63402C533152,70490
Pontiac,Gemini,1988,JN8AF5MR5BT376479,20442
Geo,Prizm,1997,1G6AB5R32F0924542,58011
Dodge,Ram 1500 Club,1995,JN8AZ2KR7AT765647,44811
Dodge,Caravan,1993,WBANE53526B322757,56390
Buick,Riviera,1986,1D4RD4GG8BC230914,56107
Volkswagen,Fox,1987,WAU4FAFR1DA279967,75236
Oldsmobile,Bravada,2004,TRUDD38J891460606,15440
Bentley,Brooklands,2009,WBSWD93598P008149,53489
Toyota,Sienna,1999,JN8AZ2KR9AT271032,13496
Mercedes-Benz,CL-Class,2004,1G6DL5EY7B0027254,29047
Mazda,B-Series,1996,1GYFC36209R264754,76781
Chevrolet,Corvette,1955,JH4CU2F66CC918362,43008
Nissan,Versa,2009,JN1AZ4EH9FM131285,51894
Dodge,Caliber,2011,5N1AR2MM8FC554036,64746
Toyota,Camry,2001,3GYFNEEY2BS130472,72046
Toyota,Xtra,1992,5NPE24AF3FH152814,54695
Ford,Focus,2013,JHMZF1C4XCS021178,20006
Volkswagen,Eurovan,1994,WAUHMBFC6EN706854,34984
Rolls-Royce,Phantom,2006,1FTEW1CM8CK751846,35700
Buick,Skylark,1985,KNAGM4AD1C5102486,61955
Toyota,MR2,2005,KMHGH4JH2CU673481,20696
Mitsubishi,Diamante,2002,JH4KB16658C846024,42339
Toyota,Camry,2007,5UXZW0C52D0153321,49701
Chevrolet,Equinox,2006,WA1AV74L67D654744,41552
Aptera,2e,2009,WDDHF5KB9EA713273,26124
Buick,LeSabre,1989,5FRYD4H6XEB799638,76851
Buick,Regal,2012,JN8AE2KP2D9782819,73958
Mitsubishi,Chariot,1986,SAJWA4DCXAM289256,28553
Mazda,626,1986,SCBGU3ZA9FC732671,16141
Mazda,Millenia,1996,WUARL48H78K491153,24274
Dodge,Stealth,1994,2G61S5S33E9940571,38624
GMC,2500 Club Coupe,1997,WBA3C1C51FP346203,35211
Oldsmobile,Aurora,1997,JN8AZ1MU5AW290624,11243
BMW,760,2003,3N1CN7AP0EK901858,32263
Nissan,Frontier,2010,JN1AZ4EH1DM673168,19040
Mercury,Sable,1988,5FRYD4H87FB866098,33706
Dodge,Ram Van B150,1993,WUARL48H17K179716,15071
Mercedes-Benz,CLK-Class,2005,WAUEFBFL3EA703771,37856
